team,name,position,playMins,result,goals,assists,goalsConceded,penaltyConceded,cornersTotal,aerialsWon,dribblesLost,shotsTotal,passesAccurate,tackleUnsuccesful,defensiveAerials,aerialsTotal,offensiveAerials,passesTotal,throwInsTotal,offsidesCaught,interceptions,ratings,touches,dispossessed,parriedSafe,claimsHigh,clearances,throwInAccuracy,collected,parriedDanger,possession,shotsOffTarget,dribblesAttempted,shotsOnPost,dribblesWon,cornersAccurate,tackleSuccess,throwInsAccurate,dribbleSuccess,errors,aerialSuccess,shotsBlocked,tacklesTotal,tackleSuccessful,shotsOnTarget,dribbledPast,passesKey,foulsCommited,totalSaves,passSuccess
Liverpool,Loris Karius,GK,90,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,20.0,0,0,0,179.46,29.0,0,0,0,0,0,4.0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1333.33
Liverpool,Joseph Gomez,DR,90,0,0,0,0,0,0,1.0,0,0,44.0,0,2.0,2.0,0,46.0,13.0,0,3.0,302.7899999999999,69.0,0,0,0,3.0,0,0,0,46.0,0,0,0,0,0,200.0,11.0,0,0,0.0,0,2.0,2.0,0,0,0,1.0,0,3150.0
Liverpool,Dejan Lovren,DC,61,0,0,0,0,0,0,3.0,0,0,43.0,0,5.0,5.0,0,47.0,0,0,1.0,240.55999999999997,53.0,0,0,0,3.0,0,0,0,47.0,0,0,0,0,0,100.0,0,0,0,0.0,0,1.0,1.0,0,0,1.0,1.0,0,2450.0
Liverpool,Ragnar Klavan,DC,90,0,0,0,0,0,0,4.0,0,0,52.0,0,5.0,5.0,0,59.0,0,0,1.0,356.93000000000006,69.0,0,0,0,3.0,0,0,0,59.0,0,1.0,0,1.0,0,100.0,0,100.0,0,0.0,0,1.0,1.0,0,0,0,0,0,3300.0
Liverpool,Alberto Moreno,DL,45,0,0,0,0,0,0,1.0,0,0,20.0,0,1.0,1.0,0,29.0,2.0,0,1.0,166.92,40.0,0,0,0,5.0,0,0,0,29.0,0,0,0,0,0,200.0,1.0,0,0,0,0,2.0,2.0,0,0,0,0,0,1183.33
Liverpool,Sadio Mané,MR,90,0,2,0,0,0,0,0,1.0,5.0,35.0,1.0,0,0,0,42.0,0,0,1.0,365.18999999999994,65.0,1.0,0,0,0,0,0,0,43.0,2.0,3.0,0,2.0,0,400.0,0,200.0,0,0,1.0,5.0,4.0,2.0,1.0,2.0,2.0,0,2666.67
Liverpool,Emre Can,MC,90,0,0,0,0,0,0,2.0,1.0,0,69.0,2.0,0,2.0,2.0,76.0,0,0,1.0,381.6399999999999,90.0,1.0,0,0,0,0,0,0,76.0,0,2.0,0,1.0,0,200.0,0,100.0,0,0,0,4.0,2.0,0,2.0,0,4.0,0,4000.0
Liverpool,Georginio Wijnaldum,MC,90,0,0,0,0,0,0,1.0,1.0,0,48.0,1.0,0,1.0,1.0,53.0,0,0,4.0,305.81000000000006,64.0,0,0,0,0,0,0,0,53.0,0,1.0,0,0,0,200.0,0,0,0,0,0,3.0,2.0,0,1.0,1.0,1.0,0,3016.67
Liverpool,Philippe Coutinho,ML,90,0,3,0,0,0,4.0,2.0,1.0,4.0,57.0,0,1.0,2.0,1.0,73.0,1.0,0,2.0,474.30999999999983,100.0,2.0,0,0,0,200.0,0,0,77.0,0,4.0,0,3.0,2.0,300.0,1.0,200.0,0,0,0,3.0,3.0,4.0,0,2.0,1.0,0,3188.34
Liverpool,Roberto Firmino,FW,73,0,1,1,0,0,0,2.0,0,1.0,32.0,1.0,0,5.0,5.0,36.0,0,0,0,249.64000000000001,46.0,2.0,0,0,1.0,0,0,0,36.0,0,2.0,0,2.0,0,100.0,0,200.0,0,0.0,0,2.0,1.0,1.0,1.0,1.0,2.0,0,1916.67
Liverpool,Mohamed Salah,FW,90,0,1,0,0,0,0,0,3.0,5.0,18.0,1.0,0,2.0,2.0,27.0,0,1.0,0,284.9700000000001,51.0,3.0,0,0,0,0,0,0,28.0,1.0,8.0,0,5.0,0,0,0,450.0,0,0,1.0,1.0,0,3.0,1.0,2.0,2.0,0,1350.0
Liverpool,Trent Alexander-Arnold,Sub,31,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,18.0,3.0,0,0,117.86999999999999,22.0,0,0,0,0,0,0,0,18.0,0,1.0,0,1.0,0,0,3.0,100.0,0,0,0,0,0,0,0,1.0,2.0,0,1100.0
Liverpool,James Milner,Sub,47,0,0,3,0,0,0,0,1.0,1.0,39.0,0,0,0,0,41.0,1.0,0,1.0,244.78000000000003,53.0,0,0,0,0,0,0,0,43.0,0,1.0,0,0,0,200.0,1.0,0,0,0,1.0,2.0,2.0,0,0,3.0,0,0,2250.0
Liverpool,Daniel Sturridge,Sub,19,0,0,1,0,0,0,0,1.0,1.0,3.0,0,0,0,0,5.0,0,1.0,0,73.05000000000001,11.0,0,0,0,0,0,0,0,5.0,1.0,2.0,0,1.0,0,0,0,100.0,0,0,0,0,0,0,0,1.0,0,0,250.0
Liverpool,Simon Mignolet,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,Dominic Solanke,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,Alex Oxlade-Chamberlain,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,Jordan Henderson,Sub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spartak Moscow,Alexander Selikhov,GK,90,0,0,0,7,0,0,0,0,0,14.0,0,0,0,0,22.0,0,0,1.0,190.49000000000007,32.0,0,0,0,0,0,1.0,0,25.0,0,0,0,0,0,100.0,0,0,0,0,0,1.0,1.0,0,0,0,0,3.0,1400.0
Spartak Moscow,Andrey Eshchenko,DR,90,0,0,0,7,0,0,0,2.0,0,37.0,3.0,1.0,1.0,0,44.0,6.0,0,0,225.57,62.0,1.0,0,0,0,0,0,0,45.0,0,2.0,0,0,0,150.0,6.0,0,0,0,0,5.0,2.0,0,3.0,1.0,2.0,0,2450.0
